from,to,distance
02t,02t,0.0
02t,03t,13.238260735847284
02t,11t,10.133110118413628
02t,12t,6.744473949099778
02t,50t,4.956834219653577
02t,52t,0.6616675273677065
02t,53t,13.159469140883866
02t,54t,7.772337966750851
02t,59t,7.461880716934367
02t,61t,14.034368232992668
02t,bkp100t,20.25771641130777
02t,bkp101t,27.12222366953769
02t,bkp102t,6.1202256890059825
02t,bkp103t,7.041114773687881
02t,bkp104t,9.627899948862204
02t,bkp105t,9.915369458111648
02t,bkp112t,4.571907771489616
02t,bkp114t,5.562740768442394
02t,bkp116t,10.93532288149056
02t,bkp117t,19.423146051844995
02t,bkp118t,26.370259440381467
02t,bkp119t,8.29925035890205
02t,bkp121t,8.927811243816082
02t,bkp120t,23.435921427436952
02t,bkp122t,7.39284522072257
02t,bkp123t,10.602006478363835
02t,bkp124t,5.004926015754633
02t,bkp126t,12.498746236634481
02t,bkp125t,20.808440672522316
02t,bkp128t,31.460512986733605
02t,bkp127t,14.95001363758196
02t,bkp129t,42.07566777545186
02t,bkp130t,21.45447540140993
02t,bkp131t,6.02452659606775
02t,bkp133t,4.148419867087462
02t,bkp56t,7.977601431383865
02t,bkp57t,12.525933816604494
02t,bkp58t,5.84693728448071
02t,bkp59t,5.615797335401349
02t,bkp60t,5.968010325468589
02t,bkp62t,2.523295139440532
02t,bkp61t,3.837126946651644
02t,bkp64t,12.98386014363437
02t,bkp66t,5.193874109338778
02t,bkp67t,4.742615303368818
02t,bkp69t,8.679745265144438
02t,bkp70t,10.394025659821391
02t,bkp65t,4.1269181699855455
02t,bkp71t,17.412687822116386
02t,bkp72t,17.22557286113402
02t,bkp74t,22.755019386042775
02t,bkp73t,15.646763568332558
02t,bkp80t,42.478694130619
02t,bkp79t,32.20762151819652
02t,bkp81t,17.59291484993642
02t,bkp78t,31.752493484143564
02t,bkp77t,22.820551299595042
02t,bkp82t,3.1019347318762045
02t,bkp76t,17.383363617333075
02t,bkp75t,25.814309085614767
02t,o26,43.67062311335489
02t,14t,18.509076165824784
02t,18t,18.74028579386431
02t,17t,10.278866076502046
02t,08t,9.40634981964043
02t,22t,20.550181013690064
02t,13t,14.053218231720619
02t,20t,36.73748691944117
02t,81t,48.24194258030007
02t,o10,17.709942907732373
02t,bkp98t,19.42187637827962
02t,bkp97t,19.742958065039197
02t,bkp99t,21.50693693014504
02t,bkp95t,9.984536611163694
02t,bkp93t,10.817968599716043
02t,27t,31.720936278074657
02t,16t,14.525885494651874
02t,bkp96t,14.935636344570288
02t,bkp92t,3.744657465683556
02t,bkp91t,9.035081219371778
02t,bkp89t,16.61752510790326
02t,bkp87t,14.704077282188587
